Year,Coach,Bowl,Home,Away,Neutral,H Points,A Points,TW,TL,TT,Place,HW,HL,HT,PS Win,PS Lose
1985,Bo Schembechler,Fiesta,6-0-0,3/1/01,1-0-0,342,98,10,1,1,2,6,0,0,1,0
1986,Bo Schembechler,Rose,5/1/00,6-0-0,0-1-0,379,203,11,2,2,1,5,1,0,0,1
1987,Bo Schembechler,Hall of Fame,5/2/00,2/2/00,1-0-0,331,172,8,4,0,4,5,2,0,1,0
1988,Bo Schembechler,Rose,5/1/00,3/1/01,1-0-0,361,167,9,2,1,1,5,1,0,1,0
1989,Bo Schembechler,Rose,5/1/00,5-0-0,0-1-0,335,184,10,2,0,1,5,1,0,0,1
1990,Gary Moeller,Gator,4/2/00,4/1/00,1-0-0,389,198,9,3,0,1,4,2,0,1,0
1991,Gary Moeller,Rose,5/1/00,5-0-0,0-1-0,420,203,10,2,0,1,5,1,0,0,1
1992,Gary Moeller,Rose,5-0-1,3-0-2,1-0-0,431,171,9,0,3,1,5,0,1,1,0
1993,Gary Moeller,Hall of Fame,5/2/00,2/2/00,1-0-0,342,160,8,4,0,4,5,2,0,1,0
1994,Gary Moeller,Holiday,3/3/00,4/1/00,1-0-0,330,268,8,4,0,3,3,3,0,1,0
1995,Lloyd Carr,Alamo,6/1/00,3/2/00,0-1-0,338,223,9,4,0,3,6,1,0,0,1
1996,Lloyd Carr,Outback,5/1/00,3/2/00,0-1-0,277,184,8,4,0,5,5,1,0,0,1
1997,Lloyd Carr,Rose,7-0-0,4/0/0,1-0-0,322,114,12,0,0,1,5,1,0,1,0
1998,Lloyd Carr,Citrus,5/1/00,4/2/00,1-0-0,359,235,10,3,0,1,7,0,0,1,0
1999,Lloyd Carr,Orange,5/1/00,4/1/00,1-0-0,361,247,10,2,0,2,5,1,0,1,0
2000,Lloyd Carr,Citrus,6-0-0,2/3/00,1-0-0,404,229,9,3,0,1,6,0,0,1,0
2001,Lloyd Carr,Citrus,5/1/00,3/2/00,0-1-0,320,237,8,4,0,2,5,1,0,0,1
2002,Lloyd Carr,Outback,6/1/00,3/2/00,1-0-0,361,265,10,3,0,3,6,1,0,1,0
2003,Lloyd Carr,Rose,7-0-0,3/2/00,0-1-0,460,219,10,3,0,1,7,0,0,0,1
2004,Lloyd Carr,Rose,6-0-0,3/2/00,0-1-0,370,279,9,3,0,1,6,0,0,0,1
2005,Lloyd Carr,Alamo,4/3/00,3/1/00,0-1-0,345,244,7,5,0,3,4,3,0,0,1
